slug,primary_keyword,page_family,search_intent,funnel_stage,priority,schema_type,parent_page,cta_type,status,notes
/industries/wix-seller-financing,wix seller financing,industry_pages,commercial_investigation,decision,p1,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Existing URL in inventory and verified fixed in MC-004
/industries/ecommerce-business-funding,ecommerce business funding,industry_pages,commercial_investigation,decision,p1,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Strong fit with revenue based financing offer
/industries/restaurant-funding,restaurant funding,industry_pages,commercial_investigation,decision,p1,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Prioritize operators with recurring cash flow profiles
/industries/trucking-funding,trucking business funding,industry_pages,commercial_investigation,decision,p1,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Operational cash flow use cases map cleanly to core offer
/industries/construction-contractor-funding,contractor business funding,industry_pages,commercial_investigation,decision,p1,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Commercial intent term with direct funding demand
/industries/medical-practice-funding,medical practice funding,industry_pages,commercial_investigation,consideration,p2,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Requires compliance safe copy review before publish
/industries/dental-practice-funding,dental practice funding,industry_pages,commercial_investigation,consideration,p2,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Use practice expansion and equipment angles only if supported
/industries/veterinary-practice-funding,veterinary practice funding,industry_pages,commercial_investigation,consideration,p2,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Tie to predictable revenue cycles and working capital needs
/industries/auto-repair-shop-funding,auto repair shop funding,industry_pages,commercial_investigation,consideration,p2,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,High intent service business segment
/industries/salon-spa-business-funding,salon business funding,industry_pages,commercial_investigation,consideration,p2,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Keep language factual and avoid approval rate claims
/industries/wholesale-distributor-funding,wholesale funding,industry_pages,commercial_investigation,consideration,p3,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Useful for inventory heavy businesses
/industries/manufacturing-business-funding,manufacturing business funding,industry_pages,commercial_investigation,consideration,p3,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Requires stronger qualification language and documentation guidance
/industries/staffing-agency-funding,staffing agency funding,industry_pages,commercial_investigation,decision,p3,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Cash flow timing pain point maps to funding demand
/industries/law-firm-funding,law firm funding,industry_pages,commercial_investigation,consideration,p3,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Add only after legal services terminology validation
/industries/home-services-funding,home services business funding,industry_pages,commercial_investigation,decision,p3,WebPage|Service|FAQPage|BreadcrumbList,/industries,start_application,planned,Covers HVAC plumbing and electrical operators under one controlled template
