title,slug,status,pageFamily,priority,launchBatch,primaryKeyword,secondaryKeywords,searchIntent,funnelStage,parentPagePath,h1,heroHeadline,heroSubhead,heroImage,heroImageAlt,industryIcon,heroBadge,industryContext,financingNeedsIntro,qualificationIntro,processOverview,disclosureBlock,ctaType,primaryCtaLabel,primaryCtaUrl,secondaryCtaLabel,secondaryCtaUrl,servicePageUrl,trustPageUrl,siblingFallbackUrl,seoTitle,metaDescription,canonicalUrl,robotsDirective,ogTitle,ogDescription,ogImage,schemaTypes,serviceName,serviceCategory,faqSchemaEnabled,metadataApproved,schemaApproved,linksApproved,disclosureApproved,contentApproved,qaPass,publishReady,publishedUrl,lastQaAt,lastQaBy,blockerReason,opsNotes
Wix Seller Financing,wix-seller-financing,planned,industry_pages,1,batch_01,wix seller financing,,commercial_investigation,decision,/industries,Funding for Wix Seller Operators,Flexible Funding for Wix Seller Operators,"Support payroll, inventory, and timing gaps with financing options built for wix seller operators.",,Wix Seller operations,,Industry Focus,TODO: Add industry-specific operating context for wix seller operators.,TODO: Add industry-specific use-of-funds guidance for wix seller operators.,TODO: Add qualification and documentation expectations for wix seller operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/ecommerce-business-funding,Wix Seller Financing | Distilled Funding by Moonshine Capital,"Explore funding options for wix seller operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/wix-seller-financing,"index,follow",Funding for Wix Seller Operators,"Explore funding options for wix seller operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Existing URL in inventory and verified fixed in MC-004
Ecommerce Business Funding,ecommerce-business-funding,planned,industry_pages,1,batch_01,ecommerce business funding,,commercial_investigation,decision,/industries,Funding for Ecommerce Business Operators,Flexible Funding for Ecommerce Business Operators,"Support payroll, inventory, and timing gaps with financing options built for ecommerce business operators.",,Ecommerce Business operations,,Industry Focus,TODO: Add industry-specific operating context for ecommerce business operators.,TODO: Add industry-specific use-of-funds guidance for ecommerce business operators.,TODO: Add qualification and documentation expectations for ecommerce business operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Ecommerce Business Funding | Distilled Funding by Moonshine Capital,"Explore funding options for ecommerce business operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/ecommerce-business-funding,"index,follow",Funding for Ecommerce Business Operators,"Explore funding options for ecommerce business operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Strong fit with revenue based financing offer
Restaurant Funding,restaurant-funding,planned,industry_pages,1,batch_01,restaurant funding,,commercial_investigation,decision,/industries,Funding for Restaurant Operators,Flexible Funding for Restaurant Operators,"Support payroll, inventory, and timing gaps with financing options built for restaurant operators.",,Restaurant operations,,Industry Focus,TODO: Add industry-specific operating context for restaurant operators.,TODO: Add industry-specific use-of-funds guidance for restaurant operators.,TODO: Add qualification and documentation expectations for restaurant operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Restaurant Funding | Distilled Funding by Moonshine Capital,"Explore funding options for restaurant operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/restaurant-funding,"index,follow",Funding for Restaurant Operators,"Explore funding options for restaurant operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Prioritize operators with recurring cash flow profiles
Trucking Business Funding,trucking-funding,planned,industry_pages,1,batch_01,trucking business funding,,commercial_investigation,decision,/industries,Funding for Trucking Operators,Flexible Funding for Trucking Operators,"Support payroll, inventory, and timing gaps with financing options built for trucking operators.",,Trucking operations,,Industry Focus,TODO: Add industry-specific operating context for trucking operators.,TODO: Add industry-specific use-of-funds guidance for trucking operators.,TODO: Add qualification and documentation expectations for trucking operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Trucking Business Funding | Distilled Funding by Moonshine Capital,"Explore funding options for trucking operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/trucking-funding,"index,follow",Funding for Trucking Operators,"Explore funding options for trucking operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Operational cash flow use cases map cleanly to core offer
Contractor Business Funding,construction-contractor-funding,planned,industry_pages,1,batch_01,contractor business funding,,commercial_investigation,decision,/industries,Funding for Construction Contractor Operators,Flexible Funding for Construction Contractor Operators,"Support payroll, inventory, and timing gaps with financing options built for construction contractor operators.",,Construction Contractor operations,,Industry Focus,TODO: Add industry-specific operating context for construction contractor operators.,TODO: Add industry-specific use-of-funds guidance for construction contractor operators.,TODO: Add qualification and documentation expectations for construction contractor operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Contractor Business Funding | Distilled Funding by Moonshine Capital,"Explore funding options for construction contractor operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/construction-contractor-funding,"index,follow",Funding for Construction Contractor Operators,"Explore funding options for construction contractor operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Commercial intent term with direct funding demand
Medical Practice Funding,medical-practice-funding,planned,industry_pages,2,batch_02,medical practice funding,,commercial_investigation,consideration,/industries,Funding for Medical Practice Operators,Flexible Funding for Medical Practice Operators,"Support payroll, inventory, and timing gaps with financing options built for medical practice operators.",,Medical Practice operations,,Industry Focus,TODO: Add industry-specific operating context for medical practice operators.,TODO: Add industry-specific use-of-funds guidance for medical practice operators.,TODO: Add qualification and documentation expectations for medical practice operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Medical Practice Funding | Distilled Funding by Moonshine Capital,"Explore funding options for medical practice operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/medical-practice-funding,"index,follow",Funding for Medical Practice Operators,"Explore funding options for medical practice operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Requires compliance safe copy review before publish
Dental Practice Funding,dental-practice-funding,planned,industry_pages,2,batch_02,dental practice funding,,commercial_investigation,consideration,/industries,Funding for Dental Practice Operators,Flexible Funding for Dental Practice Operators,"Support payroll, inventory, and timing gaps with financing options built for dental practice operators.",,Dental Practice operations,,Industry Focus,TODO: Add industry-specific operating context for dental practice operators.,TODO: Add industry-specific use-of-funds guidance for dental practice operators.,TODO: Add qualification and documentation expectations for dental practice operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Dental Practice Funding | Distilled Funding by Moonshine Capital,"Explore funding options for dental practice operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/dental-practice-funding,"index,follow",Funding for Dental Practice Operators,"Explore funding options for dental practice operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Use practice expansion and equipment angles only if supported
Veterinary Practice Funding,veterinary-practice-funding,planned,industry_pages,2,batch_02,veterinary practice funding,,commercial_investigation,consideration,/industries,Funding for Veterinary Practice Operators,Flexible Funding for Veterinary Practice Operators,"Support payroll, inventory, and timing gaps with financing options built for veterinary practice operators.",,Veterinary Practice operations,,Industry Focus,TODO: Add industry-specific operating context for veterinary practice operators.,TODO: Add industry-specific use-of-funds guidance for veterinary practice operators.,TODO: Add qualification and documentation expectations for veterinary practice operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Veterinary Practice Funding | Distilled Funding by Moonshine Capital,"Explore funding options for veterinary practice operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/veterinary-practice-funding,"index,follow",Funding for Veterinary Practice Operators,"Explore funding options for veterinary practice operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Tie to predictable revenue cycles and working capital needs
Auto Repair Shop Funding,auto-repair-shop-funding,planned,industry_pages,2,batch_02,auto repair shop funding,,commercial_investigation,consideration,/industries,Funding for Auto Repair Shop Operators,Flexible Funding for Auto Repair Shop Operators,"Support payroll, inventory, and timing gaps with financing options built for auto repair shop operators.",,Auto Repair Shop operations,,Industry Focus,TODO: Add industry-specific operating context for auto repair shop operators.,TODO: Add industry-specific use-of-funds guidance for auto repair shop operators.,TODO: Add qualification and documentation expectations for auto repair shop operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Auto Repair Shop Funding | Distilled Funding by Moonshine Capital,"Explore funding options for auto repair shop operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/auto-repair-shop-funding,"index,follow",Funding for Auto Repair Shop Operators,"Explore funding options for auto repair shop operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",High intent service business segment
Salon Business Funding,salon-spa-business-funding,planned,industry_pages,2,batch_02,salon business funding,,commercial_investigation,consideration,/industries,Funding for Salon Spa Business Operators,Flexible Funding for Salon Spa Business Operators,"Support payroll, inventory, and timing gaps with financing options built for salon spa business operators.",,Salon Spa Business operations,,Industry Focus,TODO: Add industry-specific operating context for salon spa business operators.,TODO: Add industry-specific use-of-funds guidance for salon spa business operators.,TODO: Add qualification and documentation expectations for salon spa business operators.,TODO: Add factual process steps and review timeline guidance.,TODO: Insert approved disclosure language for Distilled Funding by Moonshine Capital.,start_application,Start Your Application,/apply,Talk With Our Team,/contact,/revenuebased,/privacy-policy,/industries/wix-seller-financing,Salon Business Funding | Distilled Funding by Moonshine Capital,"Explore funding options for salon spa business operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",https://www.distilledfunding.com/industries/salon-spa-business-funding,"index,follow",Funding for Salon Spa Business Operators,"Explore funding options for salon spa business operators with Distilled Funding by Moonshine Capital. Review use cases, requirements, and apply when ready.",,"WebPage,Service,FAQPage,BreadcrumbList",Revenue-Based Financing,Business Funding,true,false,false,false,false,false,false,false,,,,"Seeded from phase1 rollout candidates. Complete media, content, metadata, schema, links, and disclosure QA before publish.",Keep language factual and avoid approval rate claims
